class,precision,recall,f1_score,support
automobile,0.8920863309352518,0.8266666666666667,0.8581314878892734,300
truck,0.8415492957746479,0.7966666666666666,0.8184931506849316,300
ship,0.8080808080808081,0.8,0.8040201005025126,300
airplane,0.7375886524822695,0.6933333333333334,0.7147766323024055,300
frog,0.6323907455012854,0.82,0.714078374455733,300
horse,0.7896995708154506,0.6133333333333333,0.6904315196998124,300
deer,0.6551724137931034,0.57,0.6096256684491979,300
dog,0.5743944636678201,0.5533333333333333,0.5636672325976231,300
bird,0.46588235294117647,0.66,0.5462068965517242,300
cat,0.48091603053435117,0.42,0.4483985765124555,300
