width,height,mean_r,mean_g,mean_b,std_r,std_g,std_b,brightness,contrast,id,label
32,32,0.36086893,0.40157008,0.45491385,0.23193707,0.22035803,0.24969088,0.40578428,0.23399532,5,automobile
32,32,0.55909884,0.5125192,0.48540175,0.19196028,0.18851747,0.2389797,0.5190066,0.20648581,148,truck
32,32,0.55251604,0.4669158,0.34215298,0.18116032,0.19383407,0.20684509,0.4538616,0.1939465,168,dog
32,32,0.46013343,0.44706687,0.4022988,0.20278864,0.17412332,0.16765909,0.4364997,0.18152368,177,automobile
32,32,0.51565695,0.5470904,0.5988977,0.1497904,0.15260749,0.15954389,0.5538817,0.1539806,200,airplane
32,32,0.39596605,0.4818183,0.5636258,0.25738356,0.22211814,0.2233965,0.48047006,0.2342994,263,automobile
32,32,0.41336498,0.3465303,0.2670885,0.22503519,0.2458665,0.22864462,0.34232792,0.23318212,293,frog
32,32,0.47790617,0.36473578,0.21207364,0.14641742,0.13164298,0.118307225,0.3515719,0.13212255,315,cat
32,32,0.50022274,0.4349111,0.35358676,0.24617381,0.2158077,0.17672208,0.42957354,0.21290119,331,automobile
32,32,0.48083735,0.49377722,0.4074766,0.16896866,0.17246518,0.18831095,0.46069705,0.17658158,333,airplane
32,32,0.5078039,0.53740335,0.5640158,0.23619127,0.23359326,0.23505189,0.5364077,0.23494548,417,cat
32,32,0.4759579,0.43969074,0.42143047,0.16636792,0.15854602,0.16621512,0.44569302,0.16370969,455,automobile
32,32,0.45348832,0.41290206,0.39763725,0.16854946,0.20890178,0.20970191,0.42134252,0.1957177,466,ship
32,32,0.35235465,0.3083634,0.30549124,0.22654773,0.2555677,0.252446,0.32206976,0.24485381,477,cat
32,32,0.6537946,0.6303146,0.4690729,0.17173722,0.14421797,0.10406534,0.58439404,0.14000684,485,deer
32,32,0.53658897,0.54234487,0.502252,0.17321186,0.16020848,0.16664214,0.52706194,0.16668749,502,ship
32,32,0.5920347,0.43764305,0.4631411,0.24567294,0.20111482,0.20367521,0.49760628,0.216821,509,truck
32,32,0.70157206,0.520033,0.317198,0.16904365,0.15697467,0.11063582,0.5129344,0.14555138,544,deer
32,32,0.390104,0.40854752,0.4591216,0.078850836,0.06874233,0.05907599,0.41925773,0.068889715,565,airplane
32,32,0.7804514,0.7608358,0.71147704,0.14384352,0.12739424,0.121138714,0.7509214,0.13079216,629,airplane
32,32,0.61357236,0.5921155,0.5487528,0.27685082,0.2849156,0.2861111,0.58481354,0.28262582,645,automobile
32,32,0.6812762,0.61205274,0.5640592,0.21287264,0.25722808,0.29299068,0.6191294,0.2543638,660,truck
32,32,0.34007728,0.27649283,0.2546827,0.21346891,0.19611016,0.20216076,0.29041758,0.20391327,665,truck
32,32,0.5403386,0.52952343,0.55479544,0.24491428,0.24932635,0.26531854,0.5415525,0.25318637,673,truck
32,32,0.5134085,0.53575385,0.50729626,0.25257492,0.26172864,0.27757514,0.5188196,0.26395956,709,airplane
32,32,0.50634253,0.50634253,0.50634253,0.14503892,0.14503892,0.14503892,0.50634253,0.14503892,726,deer
32,32,0.43513346,0.31273422,0.20191729,0.26457334,0.24794844,0.19846533,0.316595,0.2369957,822,horse
32,32,0.16392416,0.1711734,0.12958327,0.13802221,0.092554174,0.054845735,0.1548936,0.09514072,851,cat
32,32,0.66731346,0.6463039,0.61581653,0.22942469,0.23762845,0.2538364,0.6431446,0.2402965,880,automobile
32,32,0.61594653,0.56932086,0.51278734,0.14589198,0.1489452,0.15396382,0.5660183,0.14960033,950,cat
32,32,0.5143697,0.44244066,0.3315211,0.1604288,0.13108476,0.10775744,0.42944384,0.13309033,986,frog
32,32,0.6376578,0.61614263,0.6010043,0.32952574,0.34393448,0.35406232,0.61826825,0.3425075,999,cat
32,32,0.5317946,0.5073188,0.35242882,0.2219466,0.17660597,0.17663291,0.4638474,0.19172849,1004,bird
32,32,0.42410064,0.55103457,0.2509829,0.1897813,0.1628059,0.17573647,0.40870604,0.17610788,1006,deer
32,32,0.635462,0.6033661,0.56846684,0.13611987,0.14436586,0.1731552,0.6024316,0.15121365,1031,cat
32,32,0.4188878,0.4514754,0.553792,0.09723612,0.10608837,0.13831316,0.47471842,0.113879226,1040,airplane
32,32,0.43855423,0.407879,0.3929132,0.21229447,0.22454835,0.26685867,0.41311547,0.23456717,1115,truck
32,32,0.71272117,0.67015487,0.669768,0.202514,0.19901545,0.1774054,0.68421465,0.19297828,1119,horse
32,32,0.34011218,0.29529753,0.2378636,0.2368743,0.2013748,0.1741434,0.2910911,0.20413084,1123,bird
32,32,0.5923391,0.6463838,0.5382566,0.17183489,0.15210171,0.23061603,0.59232646,0.18485087,1164,bird
32,32,0.421902,0.40375718,0.3546218,0.15405267,0.1601554,0.16320574,0.39342698,0.15913795,1165,cat
32,32,0.5669648,0.5168587,0.42917225,0.26314586,0.25466266,0.27244195,0.5043319,0.26341686,1181,bird
32,32,0.09343195,0.3535886,0.53887546,0.17281948,0.18009666,0.22593492,0.328632,0.19295035,1182,ship
32,32,0.8693718,0.8471716,0.8186906,0.210626,0.24690239,0.28821725,0.845078,0.24858189,1220,bird
32,32,0.5018878,0.39787465,0.38036487,0.19159319,0.1774048,0.17916954,0.4267091,0.18272251,1233,truck
32,32,0.48732376,0.45456484,0.34501985,0.18445873,0.17212094,0.10684039,0.42896947,0.15447335,1277,horse
32,32,0.35778147,0.3794726,0.32158786,0.20014068,0.18350656,0.13801315,0.35294732,0.17388682,1389,deer
32,32,0.56526554,0.58076745,0.6032818,0.30378118,0.3104135,0.30918938,0.5831049,0.3077947,1391,truck
32,32,0.35819176,0.37273675,0.36258444,0.157524,0.14014827,0.14263427,0.36450434,0.14676885,1407,deer
32,32,0.47264016,0.44388288,0.33603245,0.1933634,0.1755654,0.13435452,0.4175185,0.1677611,1415,horse
32,32,0.44157934,0.42291385,0.4233247,0.17382391,0.18811889,0.26017466,0.42927265,0.20737249,1423,truck
32,32,0.5128644,0.60975796,0.35760555,0.15112299,0.19396023,0.14387785,0.4934093,0.16298704,1445,bird
32,32,0.54552686,0.4885261,0.4563533,0.17660683,0.21329167,0.21415643,0.4968021,0.20135164,1499,horse
32,32,0.42639813,0.52867395,0.6088344,0.20763978,0.24856207,0.31395268,0.52130216,0.2567182,1508,airplane
32,32,0.64712,0.4486593,0.32696816,0.20697355,0.14719445,0.15201508,0.47424915,0.1687277,1537,frog
32,32,0.43078226,0.35697678,0.31532493,0.18568094,0.15739399,0.13084777,0.36769465,0.15797423,1567,bird
32,32,0.6443394,0.59410226,0.6295606,0.2277314,0.22968332,0.22841427,0.62266743,0.22860968,1571,automobile
32,32,0.3575907,0.34900442,0.27724284,0.13051996,0.13912223,0.21812627,0.32794598,0.16258948,1585,frog
32,32,0.60908496,0.5958028,0.5758853,0.2553983,0.26178572,0.26355287,0.59359103,0.26024565,1591,truck
32,32,0.49572912,0.4980045,0.5211545,0.260113,0.26035088,0.26992598,0.50496274,0.2634633,1600,automobile
32,32,0.37308574,0.30531114,0.19459528,0.21375278,0.18437277,0.14101702,0.2909974,0.17971419,1604,cat
32,32,0.46837297,0.5535932,0.545509,0.23954418,0.19810136,0.19359092,0.52249175,0.21041216,1641,deer
32,32,0.7425335,0.62765664,0.45285642,0.14155506,0.15956709,0.15766673,0.60768217,0.15292962,1645,deer
32,32,0.5554884,0.39984658,0.27537075,0.25436524,0.15981375,0.16741428,0.41023526,0.19386442,1656,cat
32,32,0.4429322,0.35592124,0.32627574,0.25748312,0.25220796,0.21588725,0.37504303,0.24185945,1705,deer
32,32,0.5097193,0.54634523,0.4043767,0.22022045,0.24355021,0.21173897,0.48681378,0.22516988,1739,horse
32,32,0.44196963,0.39210752,0.27237216,0.23666278,0.21425837,0.15909067,0.3688164,0.20333727,1742,frog
32,32,0.6639924,0.59493023,0.62145376,0.30453825,0.2892469,0.28272104,0.62679213,0.29216874,1793,bird
32,32,0.6222544,0.6166356,0.61180687,0.16320604,0.17416526,0.19679515,0.61689895,0.17805548,1812,airplane
32,32,0.29707047,0.30887008,0.3139517,0.12810661,0.12398836,0.13612266,0.30663076,0.12940587,1813,bird
32,32,0.3839888,0.6272973,0.7114146,0.33878374,0.20759763,0.17007941,0.57423353,0.23882025,1823,ship
32,32,0.43932006,0.3922797,0.2977098,0.17533308,0.19285989,0.21294977,0.3764365,0.19371425,1901,horse
32,32,0.62568223,0.62870705,0.65874994,0.27355158,0.27263206,0.26324782,0.6377131,0.26981047,1902,automobile
